Oscar Piastri;Australian;0;2001-04-06;https://media.formula1.com/image/upload/c_lfill%2Cw_384/q_auto/d_common%3Af1%3A2025%3Afallback%3Adriver%3A2025fallbackdriverright.webp/v1740000000/common/f1/2025/mclaren/oscpia01/2025mclarenoscpia01right.webp
Lando Norris;British;0;1999-11-13;https://media.formula1.com/image/upload/c_lfill%2Cw_384/q_auto/d_common%3Af1%3A2025%3Afallback%3Adriver%3A2025fallbackdriverright.webp/v1740000000/common/f1/2025/mclaren/lannor01/2025mclarenlannor01right.webp
George Russell;British;0;1998-02-15;https://media.formula1.com/image/upload/c_lfill%2Cw_384/q_auto/d_common%3Af1%3A2025%3Afallback%3Adriver%3A2025fallbackdriverright.webp/v1740000000/common/f1/2025/mercedes/georus01/2025mercedesgeorus01right.webp
Fernando Alonso;Spanish;2;1981-07-29;https://media.formula1.com/image/upload/c_lfill%2Cw_384/q_auto/d_common%3Af1%3A2025%3Afallback%3Adriver%3A2025fallbackdriverright.webp/v1740000000/common/f1/2025/astonmartin/feralo01/2025astonmartinferalo01right.webp
